Timestamp,ShotType,Entropy,EntropyVariance,CutDetected,Prob_ShotType_CLOSE_UP,Prob_ShotType_MEDIUM,Prob_ShotType_WIDE,Prob_ShotType_UNKNOWN
6000,WIDE,1.38464,0.00445613,0,0.153899,0.067735,0.778366,0
6100,WIDE,1.38306,0.00443381,0,0.106824,0.166657,0.72652,0
6200,WIDE,1.37477,0.00438152,0,0.0527941,0.19248,0.754726,0
6300,WIDE,1.36351,0.00431293,0,0.148291,0.183441,0.668268,0
6400,WIDE,1.35911,0.00426777,0,0.0833719,0.175171,0.741457,0
6500,WIDE,1.36637,0.0042942,0,0.0157406,0.143293,0.840966,0
6600,WIDE,1.37345,0.0043233,0,0.221408,0.0163611,0.762231,0
6700,WIDE,1.36769,0.00431426,0,0.171158,0.185919,0.642923,0
6800,WIDE,1.38199,0.00426489,0,0.180182,0.166899,0.65292,0
6900,MEDIUM,1.37611,0.00424114,0,0.143771,0.711238,0.144991,0
7000,MEDIUM,1.4333,0.0042349,1,0.0622589,0.886969,0.0507719,0
7100,MEDIUM,1.47983,0.00422334,0,0.00698249,0.89602,0.0969971,0
7200,MEDIUM,1.51499,0.00424435,0,0.0350953,0.779351,0.185554,0
7300,MEDIUM,1.53228,0.00426492,0,0.12832,0.698145,0.173535,0
7400,MEDIUM,1.53846,0.00418623,0,0.144799,0.704519,0.150682,0
7500,MEDIUM,1.53261,0.00409535,0,0.0988147,0.721768,0.179418,0
7600,MEDIUM,1.51028,0.00403019,0,0.0196721,0.920272,0.0600557,0
7700,MEDIUM,1.47338,0.00391525,0,0.178376,0.816395,0.00522895,0
7800,MEDIUM,1.43081,0.00377988,0,0.011368,0.877006,0.111626,0
7900,CLOSE_UP,1.37501,0.00370774,0,0.764258,0.0982466,0.137495,0
8000,CLOSE_UP,1.37957,0.00367557,1,0.866157,0.031156,0.102687,0
8100,CLOSE_UP,1.38446,0.00365242,0,0.876223,0.0475024,0.076275,0
8200,CLOSE_UP,1.3932,0.00362747,0,0.74476,0.133122,0.122119,0
8300,CLOSE_UP,1.3892,0.00361151,0,0.752761,0.107875,0.139365,0
8400,CLOSE_UP,1.37975,0.00359774,0,0.861906,0.101886,0.0362074,0
